Timestamp,Value,Score,P_ID,OPENNESS,CONSCIENTIOUSNESS,EXTRAVERSION,AGREEABLENESS,NEUROTICISM
1555652000.3688,10,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652001.2088,20,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652003.0288,30,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652004.4688,40,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652005.4888,50,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652006.7288,60,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652006.7888,70,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652007.6488,80,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652008.8888,90,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652015.3488,140,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652015.9888,150,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652017.0488,160,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652018.5088,170,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652019.1488,180,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652021.1288,190,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652022.0888,200,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652022.7488,210,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652023.5888,220,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652028.9288,230,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652029.8088,280,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652031.2288,290,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652033.0688,300,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652034.2088,310,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652035.6688,320,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652036.5488,330,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652037.6488,340,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652043.7488,390,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652044.0688,400,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652045.5088,410,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652046.8088,420,Update,1107,4.0,6.0,10.0,4.0,3.0
1555652048.0488,430,Update,1107,4.0,6.0,10.0,4.0,3.0
